Rule,Class,"p=0, c=1 no translation","p=0, c=1, left translation","p=0, c=1, right translation","p=0, c=1, left-2 translation","p=0, c=1, right-2 translation"
0,1,2.2204460492503128e-16,0.0,-1.1102230246251571e-15,0.0,0.0
1,2,-13.224363426206292,-9.53646644897172,-18.036353587415665,-13.908474915492778,-13.908474915492778
2,2,0.0,0.38224508584003586,-1.1102230246251565e-16,8.881784197001248e-16,8.881784197001248e-16
3,2,-inf,-1.1102230246251571e-15,-13.340174247320942,-20.385687093973036,-20.385687093973036
4,2,0.48121182505960336,-2.2204460492503136e-16,8.881784197001248e-16,0.4812118250596032,0.4812118250596032
5,2,0.28119957432296105,-9.995577664040352,-9.553733833419663,0.2811995743229624,0.2811995743229624
6,2,9.045515184825595e-09,1.110223024625156e-15,0.0,4.852508161285405e-09,4.852508161285405e-09
7,2,0.0,-7.531931506967092,-13.061695428809253,-1.4432899320127045e-15,-1.4432899320127045e-15
8,1,-2.2204460492503136e-16,2.2204460492503107e-15,6.661338147750937e-16,0.0,0.0
9,2,-9.240753383063955,-7.52706000208016,-9.088846043187264,-18.16897144910581,-18.16897144910581
10,2,-2.2204460492503136e-16,0.4812118250596032,0.0,2.2204460492503128e-16,2.2204460492503128e-16
11,2,-14.338193262426351,0.19946057824300378,-12.735782899851836,-13.931256674263695,-13.931256674263695
12,2,0.4812118250596028,1.554312234475218e-15,-1.1102230246251565e-16,0.48121182505960364,0.48121182505960364
13,2,0.2811995743229612,-7.7861127474042835,-13.76305870060869,0.2811995743229617,0.2811995743229617
14,2,0.0,0.32228461597103114,-2.2204460492503136e-16,2.2204460492503128e-16,2.2204460492503128e-16
15,2,-2.2204460492503136e-16,-8.881784197001256e-16,-18.769930325662248,-3.33066907387547e-16,-3.33066907387547e-16
18,3,0.0,-7.771561172376099e-16,-6.661338147750941e-16,6.661338147750937e-16,6.661338147750937e-16
19,2,-19.24743505953927,-10.655181176407007,-9.560314393794695,-21.477446214586774,-21.477446214586774
22,3,0.0,6.661338147750937e-16,-2.2204460492503136e-16,8.881784197001248e-16,8.881784197001248e-16
23,2,-6.661338147750941e-16,-13.338542609546149,-12.547909402564642,-2.2204460492503136e-16,-2.2204460492503136e-16
